iso3c,region_id,country_name,income_level,gdp,total_msw,recycled,waste_generation,mismanagement_rate,region,sub_region,C1_rate,population,gdp_per_capita,fraction_recycling_chemical,C2_rate,I_mismanagement_min,I_mismanagement_max
PYF,EAS,French Polynesia,HIC,NA,147000,0.39,2791.7,0.63,Oceania,Polynesia,NA,273528,NA,0,NA,0.25,0.75
QAT,MEA,Qatar,HIC,170662627613.433,1000990.016,0.03,167331.5,0.02,Asia,Western Asia,NA,2109568,80899.32517626026,0,NA,0,0
RUS,ECS,Russian Federation,UMC,1654433869549.64,60000000,0.045,8467156.25,0.975,Europe,Eastern Europe,NA,143201676,11553.173927584758,0,NA,0.25,0.75
SAU,MEA,Saudi Arabia,HIC,690068800000,16125700.583999999,0.15,1810101.04,0.02,Asia,Western Asia,0.1,31557144,21867.276709197766,0,0.1,0,0
SDN,SSF,Sudan,LMC,76149479952.5075,2831291,NA,371122.58,0.61,Africa,Northern Africa,NA,38647803,1970.344341501314,0,NA,0.25,0.75
SEN,SSF,Senegal,LIC,16833353304.076,2454059.25,NA,220865.31,0.969,Africa,Sub-Saharan Africa,NA,15411614,1092.2511622777472,0,NA,0.25,0.75
SGP,EAS,Singapore,HIC,299170077007.701,7704300,0.61,807202.05,0.02,Asia,South-eastern Asia,0.2,5607283,53353.83946337308,0,0.2,0,0
SLB,EAS,Solomon Islands,LMC,900859048.929468,179971.964375,NA,42950.44,1,Oceania,Melanesia,NA,563513,1598.648210297665,0,NA,0.25,0.75
SLV,LCN,El Salvador,LMC,21588556541.6367,1648996.18,NA,178687.1,0.238,Americas,Latin America and the Caribbean,NA,6164626,3502.0058867539897,0,NA,0.25,0.75
SMR,ECS,San Marino,HIC,1746352442.05298,17174.68,0.45049999999999996,961.8,0.5695,Europe,Southern Europe,NA,33203,52596.224499381984,0,NA,0.25,0.75
SRB,ECS,Serbia,UMC,41308012849.7895,1840000,0.0076,295230.47,0.458075,Europe,Southern Europe,NA,7095383,5821.8157990610935,0,NA,0.25,0.75
SUR,LCN,Suriname,UMC,4527379878.73403,78619.79914999999,NA,9086.99,1,Americas,Latin America and the Caribbean,NA,526103,8605.500973638298,0,NA,0.25,0.75
SYR,MEA,Syrian Arab Republic,LIC,NA,4500000,0.025,269480.26,0.97,Asia,Western Asia,NA,20824893,NA,0,NA,0.25,0.75
TGO,SSF,Togo,LIC,4264876064.32914,1109030.45,0.02,116945.5,0.982,Africa,Sub-Saharan Africa,NA,7228915,589.9745763132006,0,NA,0.25,0.75
THA,EAS,Thailand,UMC,407014670809.508,26853366,0.191,4796494.32,0.6225,Asia,South-eastern Asia,0.23,68657600,5928.18086868035,0,0.23,0.25,0.75
TJK,ECS,Tajikistan,LIC,8458800787.50718,1787400,NA,176178.51,1,Asia,Central Asia,NA,8177809,1034.3602776131333,0,NA,0.25,0.75
TKM,ECS,Turkmenistan,UMC,39563379205.5788,500000,NA,12399.82,0.27,Asia,Central Asia,NA,5366277,7372.593551465718,0,NA,0.25,0.75
TON,EAS,Tonga,UMC,406237705.331704,17238.20175,NA,2391.77,0.72,Oceania,Polynesia,NA,104951,3870.7368708416693,0,NA,0.25,0.75
TTO,LCN,Trinidad and Tobago,HIC,21519942194.5088,727874,NA,140173.53,0.892,Americas,Latin America and the Caribbean,NA,1328100,16203.55560161795,0,NA,0.25,0.75
TUN,MEA,Tunisia,LMC,48682059522.1461,2700000,0.04,303846.29,0.58,Africa,Northern Africa,NA,11143908,4368.49079534272,0,NA,0.25,0.75
TUR,ECS,Turkey,UMC,1122511654795.59,31283000,NA,959515.23,0.47,Asia,Western Asia,NA,78271472,14341.261587562709,0,NA,0.25,0.75
TUV,EAS,Tuvalu,UMC,39216157.275699504,3989.4865,0.15,658.19,0.87,Oceania,Polynesia,NA,11097,3533.9422614850414,0,NA,0.25,0.75
TWN,EAS,NA,HIC,NA,7336000,NA,1392828.01,0.03,NA,NA,NA,23434000,NA,0,NA,0,0
TZA,SSF,Tanzania,LIC,46775259595.7984,9276995,NA,814510.5,1,Africa,Sub-Saharan Africa,NA,49082997,952.9829565174759,0,NA,0.25,0.75
UGA,SSF,Uganda,LIC,27483055271.6416,7045049.836,0.06,636505.55,0.89,Africa,Sub-Saharan Africa,NA,35093648,783.1347505292582,0,NA,0.25,0.75
UKR,ECS,Ukraine,LMC,124000201623.066,15242025,0.032,1053522.89,0.49035,Europe,Eastern Europe,NA,45004645,2755.275630394729,0,NA,0.25,0.75
URY,LCN,Uruguay,HIC,48362932954.0502,1260139.5086500002,0.08,139881.06,0.218,Americas,Latin America and the Caribbean,NA,3431552,14093.60340570395,0,NA,0.25,0.75
USA,NAC,United States,HIC,16920327941800,258000000,0.34600000000000003,34020748.43,0.02,Americas,Northern America,0.09,318563456,53114.46628014985,0,0.09,0,0
UZB,ECS,Uzbekistan,LMC,62469088151.5761,4000000,NA,115565.38,1,Asia,Central Asia,NA,29774500,2098.0734572058677,0,NA,0.25,0.75
VCT,LCN,St. Vincent and the Grenadines,UMC,729264939.598432,31561.34925,NA,2667.92,0.305775,Americas,Latin America and the Caribbean,NA,109455,6662.691878839998,0,NA,0.25,0.75
VGB,LCN,British Virgin Islands,HIC,NA,21099.19,NA,2643.48,0.217,Americas,Latin America and the Caribbean,NA,20645,NA,0,NA,0.25,0.75
VNM,EAS,Vietnam,LMC,164104855205.203,9570300,0.23,1404872.91,0.64,Asia,South-eastern Asia,NA,86932500,1887.7273195318553,0,NA,0.25,0.75
VUT,EAS,Vanuatu,LMC,777052317.457476,70225.489,0.37,4529.51,0.65,Oceania,Melanesia,NA,270402,2873.6929366553354,0,NA,0.25,0.75
WSM,EAS,Samoa,UMC,738041747.031935,27399.09,0.36,3765.32,0.35,Oceania,Polynesia,NA,187665,3932.7618204350038,0,NA,0.25,0.75
YEM,MEA,"Yemen, Rep.",LIC,11927030389.4484,4836820,0.08,483682,0.82,Asia,Western Asia,NA,27584213,432.386103944615,0,NA,0.25,0.75
ZAF,SSF,South Africa,UMC,421208662669.69,18457232,0.28,1425323.24,0.02,Africa,Sub-Saharan Africa,0.2,51729345.36,8142.547711330441,0,0.2,0,0
ZWE,SSF,Zimbabwe,LIC,14818986230.9668,1449752,0.16,413802.2,0.86,Africa,Sub-Saharan Africa,NA,12500525,1185.4691087747756,0,NA,0.25,0.75
EU,ECS,European Union,HIC,15549107564993.316,210976961,0.3,23418493.3,NA,Europe,Western Europe,0.3,444599032,34973.32752850734,0,0.3,0,0
